,gp_id,gp_name,vikaskhand_id,latitude,longitude,eng_name
0,124270,अछोली,3632,21.31734,81.61046,achholi 
1,124271,अछोटी,3632,21.31734,81.61046,achhoti 
2,124272,आगर,3632,21.518586,81.233128,auger 
3,124273,आहेरी,3632,21.24408,81.63479,aheri 
4,124274,अकोला,3632,21.94132,82.32283,akola 
5,124275,अरसी,3632,21.24408,81.63479,arsi 
6,124276,बागडुमर,3632,21.61084,81.25983,bagdumar 
7,124277,बरहापुर,3632,21.24408,81.63479,barhapur 
8,124278,बसनी,3632,21.27868,82.82458,basni 
9,124279,भाठाकोकड़ी,3632,21.24408,81.63479,bhathakonki 
10,124280,बिरेभाठा,3632,21.24408,81.63479,birebhatha 
11,124281,बिरेझर,3632,21.30415,81.19628,birejhar 
12,124282,बिरझापुर,3632,21.47274,81.25786,birjhapur 
13,124283,बिरेाड़ा,3632,21.24408,81.63479,bireada 
14,124284,बेारी,3632,21.24408,81.63479,beari 
15,124285,चीचा,3632,21.24408,81.63479,cheecha 
16,124286,डगनिया,3632,21.23976,81.60735,daganiya 
17,124287,दानी कोकड़ी,3632,19.7162,81.24912,daani kokin 
18,124288,दनिया,3632,21.61164,81.17093,daniya 
19,124289,दारगाँव,3632,21.09335,82.37815,daargaanv 
20,124290,देवरी,3632,20.74471,81.66342,devri 
21,124291,ढाबा,3632,20.35498,80.70628,dhaba 
22,124292,ढौर,3632,21.24408,81.63479,dhaur 
23,124293,दोड्की,3632,21.24408,81.63479,dodki 
24,124294,डोमा,3632,20.81984,81.58852,doma 
25,124295,दुमार,3632,20.76871,81.5685,dumar 
26,124296,गाडाडीह,3632,21.02769,81.42492,gadadih 
27,124297,गोटा,3632,22.29438,82.0243,gota 
28,124298,घोट्वानी,3632,21.24408,81.63479,ghotwani 
29,124299,गिरहोला,3632,20.50024,81.366,girhola 
30,124300,गोढ़ी,3632,21.24408,81.63479,goyin 
31,124301,गोरपा,3632,21.24408,81.63479,gorpa 
32,124302,गोटा,3632,22.29438,82.0243,gota 
33,124303,हडसर,3632,21.24408,81.63479,hadsar 
34,124304,हिर्री,3632,19.82975,81.58482,hirri 
35,124305,कंदरका,3632,21.41474,81.59259,kandarka 
36,124306,कन्हारपुरी,3632,21.24408,81.63479,kanharpuri 
37,124307,कपसदा,3632,21.24408,81.63479,kapasada 
38,124308,करेली,3632,20.87779,81.83493,kareli 
39,124309,खजरी,3632,21.79692,82.14809,khajri 
40,124310,खपरी,3632,21.194759,81.221763,khapri 
41,124311,खेरधा,3632,21.24408,81.63479,kherdha 
42,124312,खिलोराकला,3632,21.24408,81.63479,khilorakala 
43,124313,कोडिया,3632,21.15399,81.30183,kodiya 
44,124314,लहँगा,3632,21.24408,81.63479,lahanga 
45,124315,लिमतरा,3632,21.24408,81.63479,limtara 
46,124316,लिटिया,3632,21.24408,81.63479,litia 
47,124317,मडियापार,3632,22.14742,81.23635,madiapar 
48,124318,मलपुरीकला,3632,21.24408,81.63479,malpurikala 
49,124319,मलपुरीखुर्द,3632,21.24408,81.63479,malpurikhurd 
50,124320,माटरा,3632,23.05446,82.12783,matra 
51,124321,मेडेसरा,3632,21.24408,81.63479,medesara 
52,124322,मोहलाई,3632,20.58365,80.7492,mohlai 
53,124323,मोहंदी,3632,21.26721,81.39383,mohandi 
54,124324,मोहरेंगा,3632,21.47853,81.44476,moharenga 
55,124325,मुडपार,3632,19.90108,81.19271,mudpar 
56,124326,मुरमुंदा,3632,21.24408,81.63479,murmunda 
57,124327,नंदनीखुदनी,3632,21.24408,81.63479,nandanikhudani 
58,124328,नंदौरी,3632,21.2395,81.45677,nandauri 
59,124329,नंदवाय,3632,21.24408,81.63479,nandvaay 
60,124330,नारधा,3632,21.29867,81.3913,nardha 
61,124331,नवागांव s,3632,21.14122,81.77805,nawagaon s 
62,124332,नवागांव प,3632,21.14122,81.77805,nawagaon pa 
63,124333,ओटेबंध,3632,21.24408,81.63479,otebandh 
64,124334,पगबन्धी,3632,21.47604,81.24874,pagbandhi 
65,124335,पहरा,3632,21.24408,81.63479,pahara 
66,124336,पंचदेवरी,3632,21.24408,81.63479,panchdevari 
67,124337,परसबोर्ड,3632,21.24408,81.63479,persboard 
68,124338,पथरिया ड,3632,21.86665,81.85622,pathariya dud 
69,124339,पथरिया स,3632,21.86665,81.85622,pathariya sus 
70,124340,पेंड्रावन,3632,21.63128,82.92408,pendravan 
71,124341,पेंड्री ग,3632,21.24408,81.63479,pendry gaga 
72,124342,पेंड्री क,3632,21.24408,81.63479,pendry que 
73,124343,पेंड्रीतराई,3632,21.24408,81.63479,pendritarai 
74,124344,फुंडा,3632,21.24408,81.63479,funda 
75,124345,पिटौरा,3632,21.24408,81.63479,pitaura 
76,124346,पोटिया स,3632,21.16813,81.28117,potia sus 
77,124347,पोटिया मे,3632,21.16813,81.28117,potia meey 
78,124348,पुरदा,3632,21.24408,81.63479,purada 
79,124349,रहतादाह,3632,21.24408,81.63479,rahtadah 
80,124350,राजपुर,3632,23.33387,83.41626,rajpur 
81,124351,रक्सा,3632,21.48919,81.28811,raksa 
82,124352,रोंदा,3632,21.24408,81.63479,ronda 
83,124353,सगनी,3632,21.5163,81.64753,sagani 
84,124354,संकरा,3632,20.29711,81.99092,sankara 
85,124355,सेमरिया,3632,21.35709,81.1934,semaria 
86,124356,सिल्ली,3632,21.3751,81.3123,silli 
87,124357,सोनेसरार,3632,21.24408,81.63479,sonesarar 
88,124358,सुखरीकला,3632,23.55611,83.80818,sukhrikala 
89,124359,तरकोरी,3632,21.48612,81.46614,tarkori 
90,124360,टेकापार,3632,20.95995,81.14734,tekapar 
91,124361,टेमरी,3632,21.20206,81.70539,temri 
92,124362,ठेंगाभाठा,3632,21.24408,81.63479,thengabhatha 
93,124363,तितुरघाट,3632,21.24408,81.63479,titurghat 
94,124364,तुमाकला,3632,21.24408,81.63479,tumakala 
95,124527,अछोटी,3635,21.31734,81.61046,achhoti 
96,124528,आलबरस,3635,21.24408,81.63479,albarus 
97,124529,आमटी,3635,21.24408,81.63479,aamti 
98,124530,अंडा,3635,21.24408,81.63479,anda 
99,124531,अंजोरा (ढाबा),3635,20.57735,81.87461,anjora (dhaba) 
100,124532,अंजोरा (खा ),3635,20.57735,81.87461,anjora (khaa ) 
101,124533,आरसनारा,3635,21.24408,81.63479,arsanara 
102,124534,बसीन,3635,21.6093,81.29263,basin 
103,124535,बेलौदी,3635,21.70365,82.58561,belaudi 
104,124536,भानपुरी,3635,21.29723,81.64418,bhanpuri 
105,124537,भरदा,3635,21.10968,81.26611,bharda 
106,124538,भटगाँव,3635,20.69904,81.53242,bhatgaon 
107,124539,भेंड़सार,3635,21.24408,81.63479,bhensar 
108,124540,बोरई,3635,21.14491,81.05124,borai 
109,124541,भोथली,3635,20.77117,81.40728,bhothali 
110,124542,बिरेझार,3635,21.30415,81.19628,birejhaar 
111,124543,बोडेगाँव,3635,21.40776,81.35912,bodegaon 
112,124544,बोरिगारका,3635,21.10556,81.36308,borigarka 
113,124545,चंदखुरी,3635,21.23865,81.71173,chandkhuri 
114,124546,चंगोरी,3635,23.24495,83.35488,changori 
115,124547,चिखली,3635,21.55781,83.19437,chikhali 
116,124548,चिंगरी,3635,21.24408,81.63479,chingri 
117,124549,चिरपोटी,3635,21.05463,81.32391,chirpoti 
118,124550,दमोदा,3635,21.25096,81.16522,damoda 
119,124551,डानडेसारा,3635,20.81029,81.67733,dandesara 
120,124552,ढाबा,3635,20.35498,80.70628,dhaba 
121,124553,धनोरा,3635,19.9638,82.37666,dhanora 
122,124554,ढौर,3635,21.24408,81.63479,dhaur 
123,124555,डूमरडीह,3635,22.36973,82.77769,dumardih 
124,124556,गनयारी,3635,22.28497,82.0131,ganyari 
125,124557,घुघसीडीह,3635,21.24408,81.63479,ghughsidih 
126,124558,हनोदा,3635,21.24408,81.63479,hanoda 
127,124559,जंजगिरी,3635,21.10064,81.33296,janjgiri 
128,124560,जेवरा,3635,21.6386,81.62205,jevara 
129,124561,झोला,3635,21.09366,81.16683,jhola 
130,124562,कचान्दुर,3635,21.24408,81.63479,kachandur 
131,124563,करंजा भिलाई,3635,21.22074,81.37976,karanja bhilai 
132,124564,कतरों,3635,21.24408,81.63479,kataron 
133,124565,खम्हरिया,3635,22.21856,81.81896,khamharia 
134,124566,खानदा,3635,21.24408,81.63479,khanada 
135,124567,खपरी,3635,21.194759,81.221763,khapri 
136,124568,खेदमारा,3635,21.24408,81.63479,khedmara 
137,124569,खोपाली,3635,21.73449,81.95002,khopali 
138,124570,खुरसुल,3635,21.24408,81.63479,khursul 
139,124571,कोडिया,3635,21.15399,81.30183,kodiya 
140,124572,कोकड़ी,3635,19.7162,81.24912,kokin 
141,124573,कोलिहापुरी,3635,20.70904,81.5623,kolihapuri 
142,124574,कोटनी,3635,21.17118,81.81675,kotni 
143,124575,कुटेलाभाटा,3635,21.24408,81.63479,kutelabhata 
144,124576,कुथरेल,3635,21.24408,81.63479,kuthrell 
145,124577,मचांदुर,3635,21.24408,81.63479,machandur 
146,124578,महमरा,3635,21.24408,81.63479,mahmara 
147,124579,मतवारी,3635,21.05443,81.32345,matwari 
148,124580,मोहलाई,3635,20.58365,80.7492,mohlai 
149,124581,नगपुरा,3635,21.24408,81.63479,nagpura 
150,124582,नानकटठी,3635,21.24408,81.63479,nankatthi 
151,124583,निकुम,3635,21.05868,81.20091,nikum 
152,124584,पाउवारा,3635,21.24408,81.63479,pauwara 
153,124585,पीपरछेड़ी,3635,21.24408,81.63479,peeparchheni 
154,124586,पिसेगाँव,3635,21.16557,81.2627,pisegaon 
155,124587,पुराई,3635,21.24408,81.63479,purai 
156,124588,रसमडा,3635,21.24408,81.63479,rasmada 
157,124589,रवेलीडीह,3635,21.32537,81.33672,ravelidih 
158,124590,रिसामा,3635,21.24408,81.63479,risama 
159,124591,समोधा,3635,21.24408,81.63479,samodha 
160,124592,सिरसाखुर्द,3635,21.22596,81.33721,sirsakhurd 
161,124593,थनौद,3635,21.24408,81.63479,thanaud 
162,124594,तिरगा,3635,21.22333,81.39374,tirga 
163,124595,उमरपोटी,3635,21.24408,81.63479,umarpoti 
164,124596,विनायकपुर,3635,23.18474,83.63933,vinayakpur 
165,124860,अगेसरा,3639,20.56584,80.98119,agesara 
166,124861,अचानकपुर,3639,21.24408,81.63479,achanakpur 
167,124862,उफरा,3639,21.24408,81.63479,ufra 
168,124863,अमेरी,3639,22.08314,82.1234,ameri 
169,124865,अमलीडीह,3639,20.83916,81.50174,amlidih 
170,124866,औसर,3639,21.24408,81.63479,ausar 
171,124867,अरमरीखुर्द,3639,21.24408,81.63479,armarikhurd 
172,124868,आसनारा,3639,23.70348,82.7311,asnara 
173,124869,अशोगा,3639,21.24408,81.63479,ashoga 
174,124870,औंधी,3639,21.24408,81.63479,aundhi 
175,124871,औंरी,3639,21.24408,81.63479,aunri 
176,124872,बटंग,3639,21.24408,81.63479,buttong 
177,124873,बठेना,3639,21.24408,81.63479,bathena 
178,124874,बटरेल,3639,21.24408,81.63479,butterell 
179,124875,बेल्हारी,3639,20.88095,81.46111,belhari 
180,124876,बेलौदी,3639,21.70365,82.58561,belaudi 
181,124877,भंसुली,3639,21.24408,81.63479,bhansuli 
182,124878,भंसुली एवं रेग-,3639,21.24408,81.63479,bhansuli aivam regg- 
183,124879,भरार,3639,22.24352,82.1473,bharar 
184,124880,बीजाभाठा,3639,20.97465,81.16149,bijabhatha 
185,124881,बोरेंडा,3639,21.24408,81.63479,borenda 
186,124882,बोरीद,3639,21.14491,81.05124,borid 
187,124883,बोरवाय,3639,21.24408,81.63479,borvaay 
188,124884,छाटा,3639,21.24408,81.63479,chhaata 
189,124885,चिचा,3639,21.0953,81.5132,chicha 
190,124886,चुलगाहन,3639,21.24408,81.63479,chulgahan 
191,124887,चुनकत्ता,3639,21.24408,81.63479,chunakatta 
192,124888,देमार,3639,20.76871,81.5685,demar 
193,124889,दरबारमोखाली,3639,21.24408,81.63479,darbarmokhali 
194,124890,देवादा,3639,21.24408,81.63479,devada 
195,124891,धमाना,3639,21.24408,81.63479,dhamana 
196,124892,ढौर,3639,21.24408,81.63479,dhaur 
197,124893,धौराभाटा,3639,21.24408,81.63479,dhaurabhata 
198,124894,डीडाभाटा (रानीतराई),3639,21.24408,81.63479,didabhata (ranitarai) 
199,124895,दीदागा,3639,21.24408,81.63479,didaga 
200,124896,गबदी,3639,21.24408,81.63479,gabadi 
201,124897,गाडाडीह,3639,21.02769,81.42492,gadadih 
202,124898,गातापार,3639,21.24408,81.63479,gatapar 
203,124899,घुघुवा,3639,21.24408,81.63479,ghughuwa 
204,124900,घोरपेंड्री,3639,21.24408,81.63479,ghorpendri 
205,124901,गुढ़ियारी,3639,21.24408,81.63479,guiyari 
206,124902,गुजरा,3639,20.5886,82.16209,gujra 
207,124903,जामगांव (म),3639,20.95787,81.45835,jamgaon (maam) 
208,124904,जामगांव (र),3639,20.95787,81.45835,jamgaon (raar) 
209,124905,जमारो,3639,21.24408,81.63479,jamaaro 
210,124906,जरवाय,3639,21.24408,81.63479,jarvaay 
211,124907,झीट,3639,21.24408,81.63479,jheet 
212,124908,कानकोट,3639,21.24408,81.63479,kankot 
213,124909,करेला,3639,20.87779,81.83493,karela 
214,124910,करगा,3639,21.24408,81.63479,karga 
215,124911,करसा,3639,21.24408,81.63479,karsa 
216,124912,केशरा,3639,21.24408,81.63479,keshra 
217,124913,खमरिया (बी),3639,21.2295,81.3159,khamaria (bee) 
218,124914,खमरिया(अ),3639,21.21726,81.82575,खमरिया(aaa) 
219,124915,खर्रा,3639,21.24408,81.63479,kharra 
220,124917,खुडमुडी,3639,21.50981,81.56316,khudmudi 
221,124918,किकिरमेटा,3639,21.24408,81.63479,kikirmeta 
222,124919,कौही,3639,21.24408,81.63479,kauhi 
223,124920,कुम्हली,3639,21.24408,81.63479,kumhali 
224,124921,कुर्मिगुडरा,3639,21.24408,81.63479,kurmigudra 
225,124922,लोहारसी,3639,20.58139,82.26321,loharsi 
226,124924,महकाखुर्द,3639,21.24408,81.63479,mahkakhurd 
