,k_id,k_name,vibhag_id,createdate
0,2210000001,"वन संरक्षक, दुर्ग सर्किल, दुर्ग",2010,2023-01-11 16:40:54
1,2210000003,"कलेक्‍टर, दुर्ग",2001,2023-01-11 16:40:54
2,2210000005,"कार्यपालन अभियंता, तांदुला जल संसाधन संभाग, दुर्ग",2030,2023-01-11 16:40:54
3,2210000008,"छत्तीसगढ़ राज्य विद्युत वितरण कंपनी लिमिटेड, दुर्ग",2013,2023-01-11 16:40:54
4,2210000010,"नगर पालिक निगम, दुर्ग",2018,2023-01-11 16:40:54
5,2210000012,"जिला पंचायत, दुर्ग",2022,2023-01-11 16:40:54
6,2210000022,"जिला शहरी विकास अभिकरण, दुर्ग",2018,2023-01-11 16:40:54
7,2210000024,"नगर पालिक निगम, भिलाई",2018,2023-01-11 16:40:54
8,2210000025,"अनुविभागीय अधिकारी (राजस्‍व), दुर्ग",2007,2023-01-11 16:40:54
9,2210000030,"पुलिस अधीक्षक, दुर्ग",2002,2023-01-11 16:40:54
10,2210000031,"उप संचालक, कृषि, दुर्ग",2014,2023-01-11 16:40:54
11,2210000032,"वनमंडलाधिकारी, दुर्ग वन मंडल, दुर्ग",2010,2023-01-11 16:40:54
12,2210000033,"खाद्य नियंत्रक, दुर्ग",2028,2023-01-11 16:40:54
13,2210000034,"उप पंजीयक सहकारी संस्‍थायें, दुर्ग",2015,2023-01-11 16:40:54
14,2210000035,"कार्यपालन अभियंता, लोक निर्माण विभाग, संभाग दुर्ग",2019,2023-01-11 16:40:54
15,2210000037,छत्‍तीसगढ राज्‍य सहकारी विपणन संघ मर्यादित दुर्ग,2015,2023-01-11 16:40:54
16,2210000038,जिला केन्द्रीय सहकारी बैंक दुर्ग,2015,2023-01-11 16:40:54
17,2210000039,"जिला रोजगार एवं स्‍वरोजगार मार्गदर्शन केन्‍द्र, दुर्ग",2038,2023-01-11 16:40:54
18,2210000040,"जिला व्‍यापार एवं उद्योग केन्‍द्र, दुर्ग",2011,2023-01-11 16:40:54
19,2210000041,"मुख्‍य चिकित्‍सा एवं स्‍वास्‍थ्‍य अधिकारी, दुर्ग",2017,2023-01-11 16:40:54
20,2210000042,"खनिज अधिकारी, दुर्ग",2012,2023-01-11 16:40:54
21,2210000043,"उप संचालक, पंचायत एवं समाज कल्‍याण, दुर्ग",2026,2023-01-11 16:40:54
22,2210000044,"राज्य आयुक्त, दिव्यांगजन न्यायालय/कार्यालय",2026,2023-01-11 16:40:54
23,2210000048,"जिला शिक्षा अधिकारी, दुर्ग",2020,2023-01-11 16:40:54
24,2210000051,"श्रमायुक्त, दुर्ग",2016,2023-01-11 16:40:54
25,2210000052,"जिला कार्यक्रम अधिकारी, महिला एवं बाल विकास, दुर्ग",2043,2023-01-11 16:40:54
26,2210000053,"जिला योजना एवं सांख्यिकी अधिकारी, दुर्ग",2023,2023-01-11 16:40:54
27,2210000055,"उप संचालक, पशु चिकित्‍सा सेवाएं, दुर्ग",2034,2023-01-11 16:40:54
28,2210000056,लीड बैंक दुर्ग,2015,2023-01-11 16:40:54
29,2210000057,"क्षेत्रीय अधिकारी, छ.ग. पर्यावरण संरक्षण मंडल, भिलाई",2031,2023-01-11 16:40:54
30,2210000058,"कार्यपालन अभियंता, लोक स्‍वास्‍थ्‍य यांत्रिकी, दुर्ग",2033,2023-01-11 16:40:54
31,2210000059,"उप संचालक, मत्‍स्‍य, दुर्ग",2035,2023-01-11 16:40:54
32,2210000060,"सहायक आयुक्‍त आबकारी, दुर्ग",2005,2023-01-11 16:40:54
33,2210000061,"नजूल अधिकारी, दुर्ग",2007,2023-01-11 16:40:54
34,2210000062,"मलेरिया अधिकारी, दुर्ग",2017,2023-01-11 16:40:54
35,2210000063,"जिला पंजीयक, दुर्ग",2005,2023-01-11 16:40:54
36,2210000064,"कार्यपालन अभियंता, प्रधानमंत्री ग्रामीण संडक योजना, दुर्ग",2022,2023-01-11 16:40:54
37,2210000067,"छ.ग. गृह निर्माण मंडल, दुर्ग",2031,2023-01-11 16:40:54
38,2210000069,"सहायक आयुक्त, आदिवासी विकास, दुर्ग",2025,2023-01-11 16:40:54
39,2210000071,"कलेक्‍टर (भू-अभिलेख शाखा), दुर्ग",2007,2023-01-11 16:40:54
40,2210000072,"अतिरिक्‍त क्षेत्रीय परिवहन अधिकारी, दुर्ग",2008,2023-01-11 16:40:54
41,2210000073,"छ.ग. अंत्‍यावसायी सहकारी वित्‍त एवं विकास निगम, दुर्ग",2025,2023-01-11 16:40:54
42,2210000075,"अनुविभागीय अधिकारी (राजस्‍व), पाटन",2007,2023-01-11 16:40:54
43,2210000077,"उप संचालक, खादी तथा ग्रामोद्योग, दुर्ग",2044,2023-01-11 16:40:54
44,2210000079,"उप संचालक, हाथकरधा, दुर्ग",2044,2023-01-11 16:40:54
45,2210000081,"कार्यालय कलेक्टर (स्वेच्छानुदान शाखा), दुर्ग",2001,2023-01-11 16:40:54
46,2210000082,"कार्यालय कलेक्‍टर (मुख्‍यमंत्री सहायता कोष एवं संजीवनी कोष शाखा), दुर्ग",2001,2023-01-11 16:40:54
47,2210000083,"च्वाइस परियोजना, दुर्ग",2022,2023-01-11 16:40:54
48,2210020115,"नोडल अधिकारी, उच्‍च शिक्षा (प्राचार्य, शासकीय विज्ञान महाविद्यालय दुर्ग)",2036,2023-01-11 16:40:54
49,2210020140,"संभाग आयुक्त कार्यालय, दुर्ग",2007,2023-01-11 16:40:54
50,2210030085,"राष्‍ट्रीय सूचना-विज्ञान केन्‍द्र, दुर्ग",2055,2023-01-11 16:40:54
51,2210030086,"उप संचालक, जनसंपर्क, दुर्ग",2024,2023-01-11 16:40:54
52,2210030087,"जिला खेल एवं युवा कल्याण, दुर्ग",2009,2023-01-11 16:40:54
53,2210030095,"पुलिस महानिरिक्षक, दुर्ग",2002,2023-01-11 16:40:54
54,2210030096,"उप संचालक, उद्यानिकी, दुर्ग",2047,2023-01-11 16:40:54
55,2210030100,"उप संचालक, नगर एवं ग्राम निवेश, दुर्ग",2031,2023-01-11 16:40:54
56,2210030101,"प्रबंधक, छ.ग. राज्‍य नागरिक आपूर्ति निगम, दुर्ग",2028,2023-01-11 16:40:54
57,2210030102,"नियत्रंक, नापतौल, दुर्ग",2028,2023-01-11 16:40:54
58,2210030103,"अधीक्षक, केन्‍द्रीय जेल, दुर्ग",2003,2023-01-11 16:40:54
59,2210030104,"कार्यपालन अभियंता, E&M, लाइट मशीनरी ट्यूबवेल व गेट संभाग, दुर्ग",2030,2023-01-11 16:40:54
60,2210030108,"कार्यपालन अभियंता, लोक निर्माण विभाग, E/M संभाग, दुर्ग",2019,2023-01-11 16:40:54
61,2210030109,"कार्यपालन अभियंता, लोक निर्माण विभाग, सेतू संभाग, दुर्ग",2019,2023-01-11 16:40:54
62,2210030110,"सिविल सर्जन सह अस्‍पताल अधीक्षक, जिला अस्‍पताल, दुर्ग",2017,2023-01-11 16:40:54
63,2210030111,"उप आयुक्‍त, वाणिज्‍य कर, दुर्ग",2005,2023-01-11 16:40:54
64,2210030112,"जिला अल्‍प बचत अधिकारी, दुर्ग",2004,2023-01-11 16:40:54
65,2210030113,"जिला कोषालय अधिकारी, दुर्ग",2004,2023-01-11 16:40:54
66,2210030114,"जिला निर्वाचन अधिकारी, दुर्ग",2007,2023-01-11 16:40:54
67,2210030116,"कार्यालय कलेक्‍टर (वित्‍त शाखा), दुर्ग",2001,2023-01-11 16:40:54
68,2210030117,"कार्यालय कलेक्‍टर (वरिष्‍ठ लिपिक शाखा), दुर्ग",2001,2023-01-11 16:40:54
69,2210030118,"कार्यालय कलेक्‍टर (सांख्यिकीय लिपिक शाखा), दुर्ग",2001,2023-01-11 16:40:54
70,2210030119,भिलाई इस्‍पात संयंत्र,2040,2023-01-11 16:40:54
71,2210030120,"स्‍वामी विवेकानंद विश्‍वविद्यालय, भिलाई",2036,2023-01-11 16:40:54
72,2210030121,"जिला आयुर्वेद अधिकारी, दुर्ग",2017,2023-01-11 16:40:54
73,2210030122,"कार्यालय कलेक्‍टर (जन सूचना अधिकारी), दुर्ग",2001,2023-01-11 16:40:54
74,2210030127,"सर्व शिक्षा अभियान, दुर्ग",2020,2023-01-11 16:40:54
75,2210030128,शिकायत शाखा,2007,2023-01-11 16:40:54
76,2210030129,"कार्यालय कलेक्‍टर (शिकायत शाखा), दुर्ग",2001,2023-01-11 16:40:54
77,2210030130,"कार्यालय सेनानी प्रथम वाहीनी सशत्र बल, भिलाई",2002,2023-01-11 16:40:54
78,2210030131,कलेक्टर भू-अर्जन,2007,2023-01-11 16:40:54
79,2210030136,"कार्यपालन अभियंता, मुख्‍यमंत्री ग्रामीण संडक योजना, दुर्ग",2022,2023-01-11 16:40:54
80,2210030137,उपसंचालक औद्योगिक स्वास्थ्य एवं सुरक्षा,2016,2023-01-11 16:40:54
81,2210030138,"प्रवर अधीक्षक, डाकघर दुर्ग संभाग, सिविक संटर, भिलाई",2040,2023-01-11 16:40:54
82,2210030139,"नोडल अधिकारी, तकनिकी शिक्षा, दुर्ग",2038,2023-01-11 16:40:54
83,2210030141,"छ.ग. गृह निर्माण मंडल, परियोजना संभाग (तालपुरी), दुर्ग",2031,2023-01-11 16:40:54
84,2210030142,"अनुविभागीय अधिकारी (राजस्‍व), धमधा",2007,2023-01-11 16:40:54
85,2210030144,"छत्तीसगढ़ कामधेनु विश्वविद्यालय, अंजोरा",2034,2023-01-11 16:40:54
86,2210030145,"छत्तीसगढ़ राज्य सहकारी दुग्ध महासंघ मर्यादित, उरला",2034,2023-01-11 16:40:54
87,2210030146,"कार्यपालन अभियंता, ग्रामीण यांत्रिकी सेवा, दुर्ग",2022,2023-01-11 16:40:54
88,2210030147,छत्‍तीसगढ़ राज्‍य अक्षय ऊर्जा विकास अभिकरण दुर्ग,2013,2023-01-11 16:40:54
89,2210030149,भारतीय रेल दुर्ग,2040,2023-01-11 16:40:54
90,2210030150,भारत संचार निगम लिमिटेड (BSNL) दुर्ग,2040,2023-01-11 16:40:54
91,2210030151,"सहायक संचालक, छ.ग. राज्‍य कौशल विकास प्राधिकरण, दुर्ग",2038,2023-01-11 16:40:54
92,2210030152,"सहायक रजिस्‍ट्रार, फर्म्‍स एवं संस्‍थाऐं दुर्ग संभाग दुर्ग",2015,2023-01-11 16:40:54
93,2210030154,कामधेनु विश्‍वविद्यालय,2036,2023-01-11 16:40:54
94,2210030155,"नगर पालिक निगम, रिसाली",2018,2023-01-11 16:40:54
95,2210030156,कृषि उपज मंडी दुर्ग,2014,2023-01-11 16:40:54
96,2210030157,"कार्यालय कलेक्‍टर (जिला खनिज संस्‍थान न्‍यास (DMFT)), दुर्ग",2001,2023-01-11 16:40:54
97,2210030163,"उप संचालक, खाद्य एवं औषधि प्रशासन, दुर्ग",2017,2023-01-11 16:40:54
98,2210030164,"कार्यालय कलेक्‍टर (राजस्‍व अभिलेखागार हिन्‍दी शाखा), दुर्ग",2001,2023-01-11 16:40:54
99,2210030165,"कार्यालय कलेक्‍टर (राजस्‍व अभिलेखागार अंग्रेजी शाखा), दुर्ग",2001,2023-01-11 16:40:54
100,2210030168,संयुक्‍त संचालक (प्रशिक्षण) औद्योगिक प्रशिक्षण संस्‍थायें दुर्ग क्षेत्र,2038,2023-01-11 16:40:54
101,2210030170,"अनुविभागीय अधिकारी (राजस्‍व), भिलाई - 3",2007,2023-01-11 16:40:54
102,2210040090,"नगर पालिक निगम, भिलाई चरौदा",2018,2023-01-11 16:40:54
103,2210040092,"नगर पालिका परिषद्, कुम्हारी",2018,2023-01-11 16:40:54
104,2210040093,"नगर पालिका परिषद्, जामुल",2018,2023-01-11 16:40:54
105,2210040097,"तहसीलदार, दुर्ग",2007,2023-01-11 16:40:54
106,2210040098,"तहसीलदार, धमधा",2007,2023-01-11 16:40:54
107,2210040099,"तहसीलदार, पाटन",2007,2023-01-11 16:40:54
108,2210040123,"नगर पंचायत, धमधा",2018,2023-01-11 16:40:54
109,2210040124,"नगर पालिका परिषद्, अहिवारा",2018,2023-01-11 16:40:54
110,2210040125,"नगर पंचायत, उतई",2018,2023-01-11 16:40:54
111,2210040126,"नगर पंचायत, पाटन",2018,2023-01-11 16:40:54
112,2210040132,"कार्यालय कलेक्‍टर (बालश्रम शाखा), दुर्ग",2001,2023-01-11 16:40:54
113,2210040133,"कार्यालय कलेक्‍टर (लायलेंस शाखा), दुर्ग",2001,2023-01-11 16:40:54
114,2210040134,"कार्यालय कलेक्‍टर (रीडर शाखा), दुर्ग",2001,2023-01-11 16:40:54
115,2210040135,"अनुविभागीय दण्‍डाधिकारी (छावनी), दुर्ग",2001,2023-01-11 16:40:54
116,2210040143,"कार्यालय कलेक्‍टर (भाड़ा नियत्रंण अधिकारी), दुर्ग",2001,2023-01-11 16:40:54
117,2210040153,"कार्यालय कलेक्‍टर (नाजरात शाखा), दुर्ग",2001,2023-01-11 16:40:54
118,2210040158,"नगर पंचायत, अमलेश्‍वर",2018,2023-01-11 16:40:54
119,2210040159,"तहसीलदार, भिलाई 3",2007,2023-01-11 16:40:54
120,2210040160,"तहसीलदार, बोरी",2007,2023-01-11 16:40:54
121,2210040161,"तहसीलदार, अहिवारा",2007,2023-01-11 16:40:54
122,2210040162,"अतिरिक्‍त तहसीलदार, भिलाई",2007,2023-01-11 16:40:54
123,2210040166,अतिरिक्‍त जिला दण्‍डाधिकारी दुर्ग,2001,2023-01-11 16:40:54
124,2210040167,अपर कलेक्‍टर दुर्ग,2001,2023-01-11 16:40:54
125,2210050105,"जनपद पंचायत, धमधा",2022,2023-01-11 16:40:54
126,2210050106,"जनपद पंचायत, दुर्ग",2022,2023-01-11 16:40:54
127,2210050107,"जनपद पंचायत, पाटन",2022,2023-01-11 16:40:54
128,2210080148,"मुख्य वन संरक्षक, दुर्ग वृत्त",2010,2023-01-11 16:40:54
