,vid,vname,dt
0,2001,सामान्य प्रशासन,2023-01-11 11:00:58
1,2002,गृह विभाग,2023-01-11 11:00:58
2,2003,जेल विभाग,2023-01-11 11:00:58
3,2004,वित्त विभाग,2023-01-11 11:00:58
4,2005,वाणिज्यिक कर विभाग,2023-01-11 11:00:58
5,2006,धार्मिक न्यास और धर्मस्व विभाग,2023-01-11 11:00:58
6,2007,राजस्व एवं आपदा प्रबंधन विभाग,2023-01-11 11:00:58
7,2008,परिवहन विभाग,2023-01-11 11:00:58
8,2009,खेल और युवक कल्याण विभाग,2023-01-11 11:00:58
9,2010,वन एवं जलवायु परिवर्तन विभाग,2023-01-11 11:00:58
10,2011,वाणिज्य और उद्योग विभाग,2023-01-11 11:00:58
11,2012,खनिज साधन विभाग,2023-01-11 11:00:58
12,2013,ऊर्जा विभाग,2023-01-11 11:00:58
13,2014,कृषि विभाग,2023-01-11 11:00:58
14,2015,सहकारिता विभाग,2023-01-11 11:00:58
15,2016,श्रम विभाग,2023-01-11 11:00:58
16,2017,"लोक स्वास्थ्य, परिवार कल्याण एवं चिकित्सा शिक्षा विभाग",2023-01-11 11:00:58
17,2018,नगरीय प्रशासन एवं विकास विभाग,2023-01-11 11:00:58
18,2019,लोक निर्माण विभाग,2023-01-11 11:00:58
19,2020,स्कूल शिक्षा विभाग,2023-01-11 11:00:58
20,2021,विधि और विधायी कार्य विभाग,2023-01-11 11:00:58
21,2022,पंचायत एवं ग्रामीण विकास विभाग,2023-01-11 11:00:58
22,2023,"योजना, आर्थिक और सांख्यिकी विभाग",2023-01-11 11:00:58
23,2024,जनसंपर्क विभाग,2023-01-11 11:00:58
24,2025,"आदिमजाति तथा अनुसूचित जाती, पिछड़ा वर्ग एवं अल्पसंख्यक विकास विभाग",2023-01-11 11:00:58
25,2026,समाज कल्याण विभाग ,2023-01-11 11:00:58
26,2027,पुनर्वास विभाग ,2023-01-11 11:00:58
27,2028,खाद्य नागरिक आपूर्ति एवं उपभोक्ता संरक्षण विभाग,2023-01-11 11:00:58
28,2029,संस्कृति विभाग,2023-01-11 11:00:58
29,2030,जल संसाधन विभाग,2023-01-11 11:00:58
30,2031,आवास एवं पर्यावरण विभाग,2023-01-11 11:00:58
31,2032,पर्यटन विभाग,2023-01-11 11:00:58
32,2033,लोक स्वास्थ्य यांत्रिकी विभाग,2023-01-11 11:00:58
33,2034,पशुपालन विभाग,2023-01-11 11:00:58
34,2035,मछ्ली पालन विभाग,2023-01-11 11:00:58
35,2036,उच्च शिक्षा विभाग,2023-01-11 11:00:58
36,2037,विज्ञान और प्रोद्योगिकी विभाग,2023-01-11 11:00:58
37,2038,"कौशल विकास, तकनीकी शिक्षा एवं रोजगार विभाग",2023-01-11 11:00:58
38,2039,बीस सूत्रीय कार्यान्वयन विभाग,2023-01-11 11:00:58
39,2040,सार्वजनिक उपक्रम विभाग,2023-01-11 11:00:58
40,2041,विमानन विभाग,2023-01-11 11:00:58
41,2042,संसदीय कार्य विभाग,2023-01-11 11:00:58
42,2043,महिला एवं बाल विकास विभाग,2023-01-11 11:00:58
43,2044,ग्रामोद्योग विभाग,2023-01-11 11:00:58
44,2045,जन शिकायत निवारण विभाग,2023-01-11 11:00:58
45,2046,मुख्यमंत्री सचिवालय,2023-01-11 11:00:58
46,2047,उद्यानिकी विभाग,2023-01-11 11:00:58
47,2055,सूचना प्रोद्दौगिकी मंत्रालय,2023-01-11 11:00:58
48,2056,सांसद कार्यालय,2023-01-11 11:00:58
49,2058,आयाकट विभाग,2023-01-11 11:00:58
